"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Carson Kelly",24,111,365,314,46,77,19,0,18,47,0,0,48,79,0.245,0.348,0.478,0.826,112,150,11,2,0,1,10,0.356622535211268,147.138324641379
2,"1B","Christian Walker",28,152,603,529,86,137,26,1,29,73,8,1,67,155,0.259,0.348,0.476,0.825,111,252,11,6,0,1,6,0.349790619765494,141.879475883615
3,"2B","Wilmer Flores",27,89,285,265,31,84,18,0,9,37,0,0,15,31,0.317,0.361,0.487,0.848,118,129,9,4,0,1,0,0.354533333333333,145.530167048139
4,"SS","Nick Ahmed",29,158,625,556,79,141,33,6,19,82,8,2,52,113,0.254,0.316,0.437,0.753,93,243,15,4,1,12,2,0.314310289389067,114.568585869515
5,"3B","Eduardo Escobar#",30,158,699,636,94,171,29,10,35,118,5,1,50,130,0.269,0.32,0.511,0.831,111,325,8,3,0,10,3,0.341364942528736,135.393833222849
6,"LF","David Peralta*",31,99,423,382,48,105,29,3,12,57,0,0,35,87,0.275,0.343,0.461,0.804,106,176,9,5,0,1,3,0.339892857142857,134.260699409309
7,"CF","Ketel Marte#",25,144,628,569,97,187,36,9,32,92,10,2,53,86,0.329,0.389,0.592,0.981,149,337,7,4,0,2,2,0.403512779552716,183.231965606865
8,"RF","Adam Jones",33,137,528,485,66,126,25,1,16,67,2,1,31,101,0.26,0.313,0.414,0.728,87,201,15,8,0,3,2,0.307687619047619,109.470802974711
9,"OF","Jarrod Dyson*",34,130,452,400,65,92,11,2,7,27,30,4,47,86,0.23,0.313,0.32,0.633,66,128,1,2,1,2,0,0.277368070953437,86.1324114069825
10,"LF","Tim Locastro",26,91,250,212,38,53,12,2,1,17,17,0,14,44,0.25,0.357,0.34,0.697,84,72,1,22,1,1,0,0.310763052208835,111.838109477232
11,"CI","Jake Lamb*",28,78,226,187,26,36,8,2,6,30,1,0,32,55,0.193,0.323,0.353,0.676,76,66,4,5,0,2,1,0.298262222222222,102.215628817464
12,"2B","Ildemaro Vargas#",27,92,211,201,25,54,9,1,6,24,1,0,9,24,0.269,0.299,0.413,0.712,82,83,6,0,0,1,0,0.296834123222749,101.11635340796
13,"C","Alex Avila*",32,63,201,164,22,34,8,0,9,24,1,0,36,68,0.207,0.353,0.421,0.774,100,69,8,1,0,0,7,0.346417525773196,139.283045747438
