"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Tyler Flowers",33,85,310,271,36,62,11,3,11,34,0,0,31,105,0.229,0.319,0.413,0.733,86,112,8,6,0,2,3,0.314228013029316,125.726784566973
2,"1B","Freddie Freeman*",29,158,692,597,113,176,34,2,38,121,6,3,87,127,0.295,0.389,0.549,0.938,136,328,17,6,0,2,11,0.395301027900147,188.132522302714
3,"2B","Ozzie Albies#",22,160,702,640,102,189,43,8,24,86,15,4,54,112,0.295,0.352,0.5,0.852,114,320,2,4,0,4,6,0.356550287356322,158.30424275376
4,"SS","Dansby Swanson",25,127,545,483,77,121,26,3,17,65,10,5,51,124,0.251,0.325,0.422,0.748,89,204,7,5,1,5,2,0.316870848708487,127.761100307368
5,"3B","Josh Donaldson",33,155,659,549,96,142,33,0,37,94,4,2,100,155,0.259,0.379,0.521,0.9,127,286,13,8,0,2,2,0.377310502283105,174.284363020936
6,"LF","Austin Riley",22,80,297,274,41,62,11,1,18,49,0,2,16,108,0.226,0.279,0.471,0.75,86,129,4,5,0,2,3,0.31180612244898,123.862540729218
7,"CF","Ronald Acuna Jr.",21,156,715,626,127,175,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,122,324,8,9,0,1,4,0.36975,168.464686481441
8,"RF","Nick Markakis*",35,116,469,414,61,118,25,2,9,62,2,0,47,59,0.285,0.356,0.42,0.776,98,174,11,2,0,6,1,0.330151709401709,137.984007530525
9,"C","Brian McCann*",35,85,316,277,28,69,9,0,12,45,0,0,31,53,0.249,0.323,0.412,0.734,86,114,10,2,0,6,1,0.310669841269841,122.987891311377
10,"IF","Johan Camargo#",25,98,248,232,31,54,12,1,7,32,1,0,15,43,0.233,0.279,0.384,0.663,67,89,5,0,1,0,2,0.281481632653061,100.520345299711
11,"RF","Matthew Joyce*",34,129,238,200,32,59,10,0,7,23,0,0,38,45,0.295,0.408,0.45,0.858,120,90,3,0,0,0,0,0.368361344537815,167.395772629939
12,"CF","Ender Inciarte*",28,65,230,199,30,49,11,2,5,24,7,1,26,41,0.246,0.343,0.397,0.74,89,79,1,4,0,1,2,0.32153947368421,131.354761975011
