"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Pedro Severino",25,96,341,305,37,76,13,0,13,44,3,1,29,73,0.249,0.321,0.42,0.74,95,128,5,4,1,2,0,0.313020588235294,80.9780083601501
2,"1B","Chris Davis*",33,105,352,307,26,55,9,0,12,36,0,0,39,139,0.179,0.276,0.326,0.601,60,100,6,3,0,3,1,0.262678062678063,46.9637748830325
3,"2B","Jonathan Villar#",28,162,714,642,111,176,33,5,24,73,40,9,61,176,0.274,0.339,0.453,0.792,109,291,8,4,2,4,0,0.332253164556962,93.9726154866439
4,"SS","Richie Martin",24,120,309,283,29,59,8,3,6,23,10,1,14,83,0.208,0.26,0.322,0.581,54,91,6,6,5,1,0,0.248805921052632,37.5909780506877
5,"3B","Rio Ruiz*",25,127,413,370,35,86,13,2,12,46,0,1,40,88,0.232,0.306,0.376,0.682,81,139,12,0,1,2,0,0.291041262135922,66.1275430460128
6,"LF","Dwight Smith Jr.*",26,101,392,357,46,86,16,3,13,53,5,1,26,82,0.241,0.297,0.412,0.708,86,147,8,4,1,4,0,0.296662404092072,69.9255017854312
7,"CF","Stevie Wilkerson#",27,117,361,329,41,74,18,2,10,35,3,3,22,108,0.225,0.286,0.383,0.669,76,126,5,7,1,2,0,0.283269444444444,60.8764671698334
8,"RF","Trey Mancini",27,154,679,602,106,175,38,2,35,97,1,0,63,143,0.291,0.364,0.535,0.899,135,322,22,9,0,5,3,0.372995562130177,121.500464122236
9,"DH","Renato Nunez",25,151,599,541,72,132,24,0,31,90,1,1,44,143,0.244,0.311,0.46,0.771,101,249,9,10,0,4,1,0.321652173913044,86.8099917036742
10,"IF","Hanser Alberto",26,139,550,524,62,160,21,2,12,51,4,4,16,50,0.305,0.329,0.422,0.751,98,221,9,4,3,3,1,0.315130036630037,82.4032699935803
11,"OF","Anthony Santander#",24,93,405,380,46,99,20,1,20,59,1,2,19,86,0.261,0.297,0.476,0.773,101,181,1,2,1,3,0,0.318111386138614,84.4176369157632
