"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Christian Vazquez",28,138,521,482,66,133,26,1,23,72,4,2,33,101,0.276,0.32,0.477,0.798,103,230,17,0,3,3,3,0.332254368932039,104.808263642568
2,"1B","Mitch Moreland*",33,91,335,298,48,75,17,1,19,58,1,0,34,74,0.252,0.328,0.507,0.835,112,151,12,1,0,2,0,0.344946268656716,113.383622858755
3,"2B","Brock Holt*",31,87,295,259,38,77,14,2,3,31,1,0,28,57,0.297,0.369,0.402,0.771,101,104,4,4,0,4,1,0.331333333333333,104.185960340373
4,"SS","Xander Bogaerts",26,155,698,614,110,190,52,0,33,117,4,2,76,122,0.309,0.384,0.555,0.939,140,341,11,2,0,6,2,0.388551724137931,142.845913977383
5,"3B","Rafael Devers*",22,156,702,647,129,201,54,4,32,115,8,8,48,119,0.311,0.361,0.555,0.916,133,359,8,4,1,2,7,0.380778097982709,137.593616201679
6,"LF","Andrew Benintendi*",24,138,615,541,72,144,40,5,13,68,10,3,59,140,0.266,0.343,0.431,0.774,100,233,6,7,3,5,1,0.327967266775777,101.911657004954
7,"CF","Jackie Bradley Jr.*",29,147,567,494,69,111,28,3,21,62,8,6,56,155,0.225,0.317,0.421,0.738,90,208,6,12,3,2,3,0.315188948306595,93.2779084386133
8,"RF","Mookie Betts",26,150,706,597,135,176,40,5,29,80,16,3,97,101,0.295,0.391,0.524,0.915,135,313,11,3,0,9,6,0.383388571428571,139.357398457149
9,"DH","J.D. Martinez",31,146,657,575,98,175,33,2,36,105,2,0,72,138,0.304,0.383,0.557,0.939,140,320,19,4,0,5,9,0.392604327666151,145.584080191201
10,"IF","Michael Chavis",23,95,382,347,46,88,10,1,18,58,2,1,31,127,0.254,0.322,0.444,0.766,96,154,11,4,0,0,2,0.323776315789474,99.0800154899246
