"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Willson Contreras",27,105,409,360,57,98,18,2,24,64,1,2,38,102,0.272,0.355,0.533,0.888,126,192,4,9,0,2,2,0.368832923832924,132.972024348248
2,"1B","Anthony Rizzo*",29,146,613,512,89,150,29,3,27,94,5,2,71,86,0.293,0.405,0.52,0.924,138,266,15,27,0,3,3,0.390185245901639,149.407917514332
3,"2B","Addison Russell",25,82,241,215,25,51,4,1,9,23,2,0,20,58,0.237,0.308,0.391,0.699,80,84,7,3,1,2,2,0.299428571428571,79.5482085352339
4,"SS","Javier Baez",26,138,561,531,89,149,38,4,29,85,11,7,28,156,0.281,0.316,0.531,0.847,114,282,16,0,0,2,3,0.34810394265233,117.015946174193
5,"3B","Kris Bryant",27,147,634,543,108,153,35,1,31,77,4,0,74,145,0.282,0.382,0.521,0.903,131,283,10,15,0,2,1,0.377897314375987,139.949314879086
6,"LF","Kyle Schwarber*",26,155,610,529,82,132,29,3,38,92,2,3,70,156,0.25,0.339,0.531,0.871,121,281,6,5,0,6,5,0.360652892561983,126.675467016837
7,"CF","Albert Almora",25,130,363,339,41,80,11,1,12,32,2,1,16,62,0.236,0.271,0.381,0.651,67,129,8,1,5,2,4,0.275579096045198,61.1901382416703
8,"RF","Jason Heyward*",29,147,589,513,78,129,20,4,21,62,8,3,68,110,0.251,0.343,0.429,0.772,99,220,12,5,0,3,5,0.330669520547945,103.595846093372
9,"IF","David Bote",26,127,356,303,47,78,17,0,11,41,5,1,44,93,0.257,0.362,0.422,0.785,104,128,11,7,0,2,4,0.3406875,111.307159152632
10,"C","Victor Caratini#",25,95,279,244,31,65,11,0,11,34,1,0,29,59,0.266,0.348,0.447,0.794,105,109,6,3,0,3,0,0.334924731182796,106.871283170825
11,"RF","Nicholas Castellanos",27,51,225,212,43,68,21,0,16,36,0,1,10,47,0.321,0.356,0.646,1.002,152,137,5,2,0,1,0,0.405711111111111,161.358910997508
