"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","James McCann",29,118,476,439,62,120,26,1,18,60,4,1,30,137,0.273,0.328,0.46,0.789,109,202,10,6,1,0,1,0.330917721518987,99.9652099046823
2,"1B","José Abreu",32,159,693,634,85,180,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,119,319,24,13,0,10,4,0.34511175616836,109.555495715774
3,"2B","Yolmer Sanchez#",27,149,555,496,59,125,20,4,2,43,5,4,44,117,0.252,0.318,0.321,0.638,73,159,7,5,7,3,1,0.278685557586837,64.6742307704813
4,"SS","Tim Anderson",26,123,518,498,81,167,32,0,18,56,17,5,15,109,0.335,0.357,0.508,0.865,129,253,12,3,0,2,0,0.358727799227799,118.755257994918
5,"3B","Yoan Moncada#",24,132,559,511,83,161,34,5,25,79,10,3,40,154,0.315,0.367,0.548,0.915,141,280,1,4,1,3,2,0.378505395683453,132.118111288682
6,"LF","Eloy Jimenez",22,122,504,468,69,125,18,2,31,79,0,0,30,134,0.267,0.315,0.513,0.828,117,240,11,4,0,2,0,0.340436507936508,106.396635822245
7,"CF","Adam Engel",27,89,248,227,26,55,10,2,6,26,3,3,14,78,0.242,0.304,0.383,0.687,83,87,5,6,1,0,0,0.29268016194332,74.1297702916388
8,"RF","Ryan Cordell",27,97,247,217,22,48,8,0,7,24,3,1,19,69,0.221,0.29,0.355,0.645,73,77,2,3,6,2,0,0.276485477178423,63.187733065968
9,"DH","Yonder Alonso*",32,67,251,219,23,39,6,0,7,27,0,1,29,53,0.178,0.275,0.301,0.576,56,66,8,1,0,2,2,0.255867469879518,49.2570510762334
10,"UT","Leury Garcia#",28,140,618,577,93,161,27,3,8,40,15,5,21,139,0.279,0.31,0.378,0.688,84,218,6,6,11,3,0,0.290477759472817,72.6417036717571
11,"C","Welington Castillo",32,72,251,230,19,48,12,0,12,41,0,0,16,74,0.209,0.267,0.417,0.684,80,96,8,3,0,2,0,0.284784860557769,68.7952619067737
