"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Tucker Barnhart#",28,114,364,316,32,73,14,0,11,40,1,0,44,83,0.231,0.328,0.38,0.708,84,120,5,2,1,1,7,0.311730337078652,89.0174599509928
2,"1B","Joey Votto*",35,142,608,525,79,137,32,1,15,47,5,0,76,123,0.261,0.357,0.411,0.768,99,216,14,4,0,3,2,0.330922442244224,103.790531896914
3,"2B","Jose Peraza",25,141,403,376,37,90,18,2,6,33,7,6,17,58,0.239,0.285,0.346,0.631,63,130,9,8,0,2,0,0.269196029776675,56.2767899452249
4,"SS","José Iglesias",29,146,530,504,62,145,21,3,11,59,6,6,20,70,0.288,0.318,0.407,0.724,87,205,17,3,1,2,3,0.305971482889734,84.5845972439063
5,"3B","Eugenio Suarez",27,159,662,575,87,156,22,2,49,103,3,2,70,189,0.271,0.358,0.572,0.93,136,329,12,11,0,6,4,0.382448328267477,143.452445727205
6,"LF","Jesse Winker*",25,113,384,338,51,91,17,2,16,38,0,2,38,60,0.269,0.357,0.473,0.83,113,160,10,8,0,0,2,0.351725130890052,119.803346196446
7,"CF","Nick Senzel",24,104,414,375,55,96,20,4,12,42,14,5,30,101,0.256,0.315,0.427,0.742,90,160,6,3,0,1,0,0.311963325183374,89.1968019254096
8,"RF","Yasiel Puig",28,100,404,373,51,94,15,1,22,61,14,5,23,89,0.252,0.302,0.475,0.777,97,177,9,5,0,3,1,0.321411910669975,96.4698254929926
9,"2B","Derek Dietrich*",29,113,306,251,41,47,8,2,19,43,1,1,28,74,0.187,0.328,0.462,0.79,102,116,2,25,0,1,2,0.337455445544554,108.819293825118
10,"LF","Josh VanMeter*",24,95,260,228,33,54,13,1,8,23,9,3,29,56,0.237,0.327,0.408,0.735,90,93,5,2,0,1,0,0.313530769230769,90.4033378152249
11,"OF","Phil Ervin",26,94,260,236,30,64,11,7,7,23,4,3,18,63,0.271,0.331,0.466,0.797,104,110,4,4,0,2,0,0.331215384615385,104.016023508586
12,"C","Curt Casali",30,84,236,207,24,52,9,0,8,32,0,0,25,59,0.251,0.331,0.411,0.741,91,85,1,1,0,3,1,0.315710638297872,92.0812862363689
13,"RF","Aristides Aquino",25,56,225,205,31,53,8,0,19,47,7,0,16,60,0.259,0.316,0.576,0.891,124,118,5,2,0,2,2,0.364008968609865,129.258797635527
