"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Roberto Perez",30,119,449,389,46,93,9,1,24,63,0,0,45,127,0.239,0.321,0.452,0.774,98,176,12,4,7,4,1,0.324530612244898,104.514585209173
2,"1B","Carlos Santana#",33,158,686,573,110,161,30,1,34,93,4,0,108,108,0.281,0.397,0.515,0.911,135,295,13,3,0,2,12,0.38913353115727,148.163940160398
3,"2B","Jason Kipnis*",32,121,511,458,52,112,23,1,17,65,7,2,40,88,0.245,0.304,0.41,0.715,84,188,7,2,5,6,2,0.301365079365079,88.8626520716468
4,"SS","Francisco Lindor#",25,143,654,598,101,170,40,2,32,74,22,5,46,98,0.284,0.335,0.518,0.854,117,310,13,3,1,6,9,0.356079192546584,125.830575306515
5,"3B","Jose Ramirez#",26,129,542,482,68,123,33,3,23,83,24,4,52,74,0.255,0.327,0.479,0.806,106,231,8,2,0,6,3,0.335966604823748,112.241383126321
6,"LF","Jake Bauers*",23,117,423,372,46,84,16,1,12,43,3,3,45,115,0.226,0.312,0.371,0.683,77,138,3,3,0,3,0,0.293706855791962,83.6883267521941
7,"CF","Oscar Mercado",24,115,482,438,70,118,25,3,15,54,15,4,28,84,0.269,0.318,0.443,0.761,95,194,9,5,7,4,0,0.317425263157895,99.7138128977601
8,"RF","Tyler Naquin*",28,89,294,274,34,79,19,0,10,34,4,2,14,66,0.288,0.325,0.467,0.792,103,128,8,2,2,2,2,0.331451724137931,109.190876540311
10,"CF","Leonys Martín*",31,65,264,236,32,47,7,0,9,19,4,5,21,78,0.199,0.276,0.343,0.619,60,81,1,4,3,0,0,0.267030651340996,65.6643870226121
11,"OF","Jordan Luplow",25,85,261,225,42,62,15,1,15,38,3,2,33,61,0.276,0.372,0.551,0.923,135,124,7,2,0,1,0,0.381003831417624,142.671059102438
12,"LF","Greg Allen#",26,89,256,231,30,53,9,3,4,27,8,2,11,53,0.229,0.29,0.346,0.636,65,80,3,9,4,1,1,0.274147410358566,70.472868522985
13,"2B","Mike Freeman*",31,75,213,177,27,49,8,0,4,24,1,2,22,61,0.277,0.362,0.39,0.752,97,69,2,4,6,4,0,0.32368115942029,103.940647243523
14,"RF","Yasiel Puig",28,49,207,182,25,54,15,1,2,23,5,2,21,44,0.297,0.377,0.423,0.8,108,77,4,3,0,1,0,0.342565217391304,116.699775827393
