"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Tony Wolters*",27,121,411,359,42,94,17,2,1,42,0,1,36,68,0.262,0.337,0.329,0.666,64,118,9,8,2,6,5,0.294997524752475,68.2823506376348
2,"1B","Daniel Murphy*",34,132,478,438,56,122,35,1,13,78,1,1,32,74,0.279,0.328,0.452,0.78,87,198,10,2,0,4,1,0.326130526315789,92.2468958513794
3,"2B","Ryan McMahon*",24,141,539,480,70,120,22,1,24,83,5,1,56,160,0.25,0.329,0.45,0.779,87,216,14,1,1,1,1,0.328253258845438,93.8808635746645
4,"SS","Trevor Story",26,145,656,588,111,173,38,5,35,85,23,8,58,174,0.294,0.363,0.554,0.917,119,326,3,7,0,3,0,0.37742987804878,131.734435513783
5,"3B","Nolan Arenado",28,155,662,588,102,185,31,2,41,118,3,2,62,93,0.315,0.379,0.583,0.962,129,343,14,4,0,8,11,0.39989400921659,149.026140779132
6,"LF","Raimel Tapia*",25,138,447,426,54,117,23,5,9,44,9,3,21,100,0.275,0.309,0.415,0.724,74,177,2,0,0,0,0,0.303324384787472,74.6919290199628
7,"CF","Ian Desmond",33,140,482,443,64,113,31,4,20,65,3,3,34,119,0.255,0.31,0.479,0.788,88,212,12,2,1,2,1,0.326752083333333,92.7253377137729
8,"RF","Charlie Blackmon*",32,140,634,580,112,182,42,7,32,86,2,5,40,104,0.314,0.364,0.576,0.94,123,334,11,9,0,5,1,0.385178515007899,137.69892822015
9,"OF","David Dahl*",25,100,413,374,67,113,28,5,15,61,4,4,28,110,0.302,0.353,0.524,0.877,109,196,3,4,2,5,0,0.36074695863747,118.892802633749
10,"UT","Garrett Hampson",24,105,327,299,40,74,9,4,8,27,15,3,24,88,0.247,0.302,0.385,0.686,66,115,2,0,2,2,1,0.290737654320988,65.0033266941044
