"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Grayson Greiner",26,58,224,208,18,42,5,1,5,19,0,0,13,70,0.202,0.251,0.308,0.559,47,64,5,1,1,1,0,0.239251121076233,41.970053765686
2,"1B","Brandon Dixon",27,117,420,391,41,97,20,4,15,52,5,1,21,136,0.248,0.29,0.435,0.725,88,170,5,4,0,4,0,0.300528571428571,83.3725356653553
3,"2B","Gordon Beckham",32,83,240,223,29,48,13,2,6,15,3,1,13,68,0.215,0.271,0.372,0.643,68,83,6,4,0,0,0,0.272145833333333,64.1955661032347
4,"SS","Jordy Mercer",32,74,271,256,24,69,16,0,9,22,0,0,13,57,0.27,0.31,0.438,0.747,94,112,4,2,0,0,1,0.313851851851852,92.3744910893711
5,"3B","Dawel Lugo",24,77,288,273,28,67,11,4,6,26,0,0,8,59,0.245,0.271,0.381,0.652,70,104,8,3,0,4,1,0.271498257839721,63.7580277836933
6,"LF","Christin Stewart*",25,104,416,369,32,86,25,1,10,40,0,1,34,103,0.233,0.305,0.388,0.693,82,143,4,7,0,6,3,0.296239709443099,80.4747399884352
7,"CF","JaCoby Jones",27,88,333,298,39,70,19,3,11,26,7,2,27,94,0.235,0.31,0.43,0.74,93,128,6,6,1,1,2,0.313466666666667,92.1142383770609
8,"RF","Nicholas Castellanos",27,100,439,403,57,110,37,3,11,37,2,1,31,96,0.273,0.328,0.462,0.79,105,186,7,3,0,2,1,0.33025799086758,103.459398665266
9,"DH","Miguel Cabrera",36,136,549,493,41,139,21,0,12,59,0,0,48,108,0.282,0.346,0.398,0.744,97,196,18,3,0,5,4,0.31965871559633,96.2979338842693
10,"UT","Niko Goodrum#",27,112,472,423,61,105,27,5,12,45,12,3,46,138,0.248,0.322,0.421,0.743,94,178,7,1,0,2,1,0.314422505307856,92.7600565665137
11,"CI","Jeimer Candelario#",25,94,386,335,33,68,17,2,8,32,3,1,43,99,0.203,0.306,0.337,0.643,70,113,3,7,0,1,1,0.282649350649351,71.2923314395665
12,"UT","Harold Castro*",25,97,369,354,30,103,10,4,5,38,4,2,9,86,0.291,0.305,0.384,0.689,81,136,6,0,2,4,0,0.287727520435967,74.7234277313498
13,"UT","John Hicks",29,95,333,319,29,67,15,0,13,35,1,1,13,109,0.21,0.24,0.379,0.62,60,121,7,0,0,1,0,0.257042042042042,53.990597685677
14,"MI","Ronny Rodriguez",27,84,294,276,29,61,12,3,14,43,3,1,13,82,0.221,0.252,0.438,0.69,77,121,5,0,0,5,0,0.280683673469388,69.9642097015364
15,"OF","Victor Reyes#",24,69,292,276,29,84,16,5,3,25,9,3,14,64,0.304,0.336,0.431,0.767,101,119,5,0,0,2,0,0.320537671232877,96.8918056041839
