"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Martin Maldonado",32,74,263,238,26,54,15,0,6,17,0,0,17,55,0.227,0.291,0.366,0.657,72,87,9,5,2,1,0,0.280727969348659,88.7088524670536
2,"1B","Ryan O'Hearn*",25,105,370,328,32,64,13,1,14,38,0,1,39,99,0.195,0.281,0.369,0.65,70,121,7,1,0,2,1,0.278425474254743,87.1531576575956
3,"2B","Whit Merrifield",30,162,735,681,105,206,41,10,16,74,20,10,45,126,0.302,0.348,0.463,0.811,112,315,8,5,0,4,5,0.34112602739726,129.517167609966
4,"SS","Adalberto Mondesi#",23,102,443,415,58,109,20,10,9,62,43,7,19,132,0.263,0.291,0.424,0.715,86,176,6,0,3,6,0,0.294772727272727,98.1982785510859
5,"3B","Hunter Dozier",27,139,586,523,75,146,29,10,26,84,2,2,55,148,0.279,0.348,0.522,0.87,125,273,9,3,0,5,2,0.359554794520548,141.968676164385
6,"LF","Alex Gordon*",35,150,633,556,77,148,31,1,13,76,5,3,51,100,0.266,0.345,0.396,0.741,96,220,13,19,1,6,4,0.319867834394904,115.153940257343
7,"CF","Billy Hamilton#",28,93,305,275,32,58,12,2,0,12,18,5,25,74,0.211,0.275,0.269,0.544,46,74,1,0,3,2,0,0.239443708609272,60.8148906886897
9,"DH","Jorge Soler",27,162,679,589,95,156,33,1,48,117,3,1,73,178,0.265,0.354,0.569,0.922,138,335,16,10,0,4,3,0.379301634472511,155.31074863943
10,"MI","Nicky Lopez*",24,103,402,379,44,91,22,2,2,30,1,1,18,51,0.24,0.276,0.325,0.601,59,123,5,1,4,0,0,0.256535175879397,72.3628444664884
11,"CI","Cheslor Cuthbert",26,87,330,309,24,76,14,0,9,40,1,0,19,67,0.246,0.294,0.379,0.673,76,117,14,2,0,0,1,0.286006079027356,92.2750393625625
