"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Jonathan Lucroy",33,74,268,240,28,58,8,1,7,30,0,0,21,39,0.242,0.31,0.371,0.681,82,89,15,4,0,3,0,0.290712686567164,71.8154486448196
2,"1B","Albert Pujols",39,131,545,491,55,120,22,0,23,93,3,0,43,68,0.244,0.305,0.43,0.734,94,211,21,3,0,8,1,0.306931985294118,82.7741164436079
3,"2B","Luis Rengifo#",22,108,406,357,44,85,18,3,7,33,2,5,40,93,0.238,0.321,0.364,0.685,84,130,6,5,1,3,0,0.2956,75.1175916807574
4,"SS","Andrelton Simmons",29,103,424,398,47,105,19,0,7,40,10,2,24,37,0.264,0.309,0.364,0.673,80,145,21,2,0,0,1,0.288063829787234,70.0257324563149
5,"3B","David Fletcher",25,154,653,596,83,173,30,4,6,49,8,3,55,64,0.29,0.35,0.384,0.734,97,229,8,0,1,1,2,0.315793846153846,88.7616866139177
6,"LF","Brian Goodwin*",28,136,458,413,65,108,29,3,17,47,7,3,38,129,0.262,0.326,0.47,0.796,109,194,3,3,1,3,2,0.332718681318681,100.197054396648
7,"CF","Mike Trout",27,134,600,470,110,137,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,185,303,5,16,0,4,14,0.450803754266212,179.981951895156
8,"RF","Kole Calhoun*",31,152,632,552,92,128,29,1,33,74,4,1,70,162,0.232,0.325,0.467,0.792,108,258,14,7,0,2,7,0.335616987179487,102.155312373306
9,"DH","Shohei Ohtani*",24,106,425,384,51,110,20,5,18,62,12,3,33,110,0.286,0.343,0.505,0.848,123,194,6,2,0,4,1,0.35086018957346,112.454474750014
10,"IF","Tommy La Stella*",30,80,321,292,49,86,8,0,16,44,0,0,20,28,0.295,0.346,0.486,0.832,119,142,8,3,0,0,0,0.347406349206349,110.120866506502
11,"LF","Justin Upton",31,63,256,219,34,47,8,0,12,40,1,1,32,78,0.215,0.309,0.416,0.724,92,91,5,0,0,5,0,0.3048671875,81.3790232599672
12,"C","Kevan Smith",31,67,211,191,21,48,12,0,5,20,2,0,16,37,0.251,0.318,0.393,0.71,89,75,8,3,0,1,0,0.302611374407583,79.8548694286505
