"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Austin Barnes",29,75,242,212,28,43,12,1,5,25,3,0,23,56,0.203,0.293,0.34,0.633,68,72,8,5,0,2,3,0.278443514644351,82.4716190472589
2,"1B","Max Muncy*",28,141,589,487,101,122,22,1,35,98,4,1,90,149,0.251,0.374,0.515,0.889,133,251,5,8,0,4,1,0.371522108843537,154.118619564761
3,"2B","Enrique Hernandez",27,130,460,414,57,98,19,1,17,64,4,0,36,97,0.237,0.304,0.411,0.715,87,170,9,6,0,4,3,0.303361050328228,101.651825918638
4,"SS","Corey Seager*",25,134,541,489,82,133,44,1,19,87,1,0,44,98,0.272,0.335,0.483,0.817,113,236,8,4,0,4,3,0.34167843866171,131.146533755366
5,"3B","Justin Turner",34,135,549,479,80,139,24,0,27,67,2,0,51,88,0.29,0.372,0.509,0.881,131,244,11,14,0,5,1,0.367963503649635,151.379392674167
6,"LF","Joc Pederson*",27,149,514,450,83,112,16,3,36,74,1,1,50,111,0.249,0.339,0.538,0.876,127,242,4,12,0,2,2,0.362259765625,146.98895548806
7,"CF","AJ Pollock",31,86,342,308,49,82,15,1,15,47,5,1,23,74,0.266,0.327,0.468,0.795,108,144,7,7,0,4,1,0.331780058651026,123.527282048253
8,"RF","Cody Bellinger*",23,156,661,558,121,170,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,169,351,10,3,0,4,21,0.43497965571205,202.964897620898
9,"UT","Chris Taylor",28,124,414,366,52,96,29,4,12,52,8,0,37,115,0.262,0.333,0.462,0.794,108,169,6,4,2,5,3,0.333606356968215,124.933070324306
10,"OF","Alex Verdugo*",23,106,377,343,43,101,22,2,12,44,4,1,26,49,0.294,0.342,0.475,0.817,114,163,8,2,0,6,1,0.339734042553192,129.649840018296
11,"UT","Matt Beaty*",26,99,268,249,36,66,19,1,9,46,5,0,17,33,0.265,0.317,0.458,0.775,102,114,6,2,0,0,2,0.326052631578947,119.118610280831
12,"C","Russell Martin",36,83,249,209,29,46,5,0,6,20,1,0,30,60,0.22,0.337,0.33,0.667,79,69,1,8,0,2,3,0.300516260162602,99.4620562490124
