"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Jorge Alfaro",26,130,465,431,44,113,14,1,18,57,4,4,22,154,0.262,0.312,0.425,0.736,95,183,12,10,0,2,1,0.310036637931034,137.088474642876
2,"1B","Garrett Cooper",28,107,421,381,52,107,16,1,15,50,0,0,33,110,0.281,0.344,0.446,0.791,110,170,10,5,0,2,0,0.333054631828979,154.80651427279
3,"2B","Starlin Castro",29,162,676,636,68,172,31,4,22,86,2,2,28,111,0.27,0.3,0.436,0.736,94,277,23,3,0,9,2,0.30526706231454,133.417106487788
4,"SS","Miguel Rojas",30,132,526,483,52,137,29,1,5,46,9,5,32,62,0.284,0.331,0.379,0.71,90,183,15,5,1,5,2,0.303818355640535,132.301968375581
5,"3B","Brian Anderson",26,126,520,459,57,120,33,1,20,66,5,1,44,114,0.261,0.342,0.468,0.811,114,215,15,14,0,3,1,0.341071290944123,160.977316321458
6,"LF","Curtis Granderson*",38,138,363,317,44,58,17,1,12,34,0,3,41,98,0.183,0.281,0.356,0.637,69,113,3,3,0,2,1,0.275538674033149,110.533758614879
7,"CF","Lewis Brinson",25,75,248,226,15,39,9,1,0,15,1,1,13,74,0.173,0.236,0.221,0.457,24,50,8,6,2,1,1,0.205779591836735,56.8368904871614
8,"RF","Harold Ramirez",24,119,446,421,54,116,20,3,11,50,2,1,18,91,0.276,0.312,0.416,0.728,93,175,8,5,0,1,1,0.306265765765766,134.185855815197
9,"CI","Neil Walker#",33,115,381,337,37,88,19,1,8,38,3,0,42,77,0.261,0.344,0.395,0.738,98,133,8,1,0,1,1,0.318081578947368,143.281046609821
10,"UT","Jon Berti",29,73,287,256,52,70,14,1,6,24,17,3,24,73,0.273,0.348,0.406,0.755,102,104,2,6,0,1,0,0.323104529616725,147.147449538476
11,"CI","Martin Prado",35,104,260,245,26,57,9,0,2,15,0,0,12,41,0.233,0.265,0.294,0.559,50,72,10,0,0,3,0,0.239280769230769,82.624332752897
12,"2B","Isan Diaz*",23,49,201,179,17,31,5,2,5,23,0,3,19,59,0.173,0.259,0.307,0.566,51,55,2,2,0,1,0,0.24647263681592,88.1602537133324
