"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Wilson Ramos",31,141,524,473,52,136,19,0,14,73,1,0,44,69,0.288,0.351,0.416,0.768,108,197,16,4,0,3,5,0.329612716763006,126.347588672602
2,"1B","Pete Alonso",24,161,693,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,149,348,13,21,0,3,6,0.388161572052402,171.415414431139
3,"2B","Robinson Cano*",36,107,423,390,46,100,28,0,13,39,0,0,25,69,0.256,0.307,0.428,0.736,97,167,16,5,0,3,3,0.310216666666667,111.417530658231
4,"SS","Amed Rosario",23,157,655,616,75,177,30,7,15,72,19,10,31,124,0.287,0.323,0.432,0.755,103,266,13,3,2,3,2,0.316605222734255,116.335104712918
5,"3B","Todd Frazier",33,133,499,447,63,112,19,2,21,67,1,2,40,106,0.251,0.329,0.443,0.772,107,198,9,12,0,0,1,0.326604417670683,124.031958441195
6,"LF","J.D. Davis",26,140,453,410,65,126,22,1,22,57,3,0,38,97,0.307,0.369,0.527,0.895,139,216,14,3,0,2,2,0.372971175166297,159.722646798328
7,"CF","Juan Lagares",30,133,285,258,38,55,12,1,5,27,4,1,22,75,0.213,0.279,0.326,0.605,64,84,8,2,2,1,4,0.264878136200717,76.5183173245481
8,"RF","Michael Conforto*",26,151,648,549,90,141,29,1,33,92,7,2,84,149,0.257,0.363,0.494,0.856,129,271,11,10,0,5,5,0.361262830482115,150.710179593983
9,"UT","Jeff McNeil*",27,133,567,510,83,162,38,1,23,75,5,6,35,75,0.318,0.384,0.531,0.916,145,271,5,21,0,1,2,0.383440707964602,167.781541845807
10,"OF","Brandon Nimmo*",26,69,254,199,34,44,11,1,8,29,3,0,46,71,0.221,0.375,0.407,0.783,113,81,1,5,1,3,2,0.343310756972111,136.891618719407
