"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Gary Sanchez",26,106,446,396,62,92,12,1,34,77,0,1,40,125,0.232,0.316,0.525,0.841,119,208,3,9,0,1,3,0.348564334085779,97.1134767785028
2,"1B","Luke Voit",28,118,510,429,72,113,21,1,21,62,0,0,71,142,0.263,0.378,0.464,0.842,124,199,12,9,0,1,2,0.359816929133858,104.716361038922
3,"2B","DJ LeMahieu",30,145,655,602,109,197,33,2,26,102,5,2,46,90,0.327,0.375,0.518,0.893,136,312,14,2,1,4,0,0.37069877675841,112.068747548477
4,"SS","Didi Gregorius*",29,82,344,324,47,77,14,2,16,61,2,1,17,53,0.238,0.276,0.441,0.718,87,143,5,1,0,2,1,0.296895043731778,62.2028065996704
5,"3B","Gio Urshela",27,132,476,442,73,139,34,0,21,74,1,1,25,87,0.314,0.355,0.534,0.889,133,236,13,5,0,4,1,0.36708,109.623699029364
6,"LF","Mike Tauchman*",28,87,296,260,46,72,18,1,13,47,6,0,34,71,0.277,0.361,0.504,0.865,128,131,9,1,0,1,0,0.360925675675676,105.46549238112
7,"CF","Brett Gardner*",35,141,550,491,86,123,26,7,28,74,10,2,52,108,0.251,0.325,0.503,0.829,117,247,6,4,0,3,0,0.342038181818182,92.7040423196593
8,"RF","Aaron Judge",27,102,447,378,75,103,18,1,27,55,3,2,64,141,0.272,0.381,0.54,0.921,143,204,11,3,0,1,4,0.385932126696833,122.36125305369
10,"MI","Gleyber Torres",22,144,604,546,96,152,26,0,38,90,5,2,48,129,0.278,0.337,0.535,0.871,128,292,10,3,1,6,3,0.359065,104.208315547874
11,"OF","Cameron Maybin",32,82,269,239,48,68,17,0,11,32,9,6,30,72,0.285,0.364,0.494,0.858,127,118,5,0,0,0,0,0.359587360594796,104.561251659719
12,"CF","Aaron Hicks#",29,59,255,221,41,52,10,0,12,36,1,2,31,72,0.235,0.325,0.443,0.769,103,98,2,0,0,3,0,0.322901960784314,79.7745382292111
13,"RF","Clint Frazier",24,69,246,225,31,60,14,0,12,38,1,2,16,70,0.267,0.317,0.489,0.806,111,110,2,2,0,3,1,0.33345306122449,86.903453392688
14,"C","Austin Romine",30,72,240,228,29,64,12,0,8,35,1,1,10,50,0.281,0.31,0.439,0.748,97,100,7,0,1,1,0,0.311397489539749,72.0014722852201
