"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Josh Phegley",31,106,342,314,44,75,18,0,12,62,0,1,15,63,0.239,0.282,0.411,0.693,85,129,11,6,2,5,0,0.288529411764706,92.0099745753109
2,"1B","Matt Olson*",25,127,547,483,73,129,26,0,36,91,0,0,51,138,0.267,0.351,0.545,0.896,137,263,11,12,0,1,7,0.374537037037037,150.12154952003
3,"2B","Jurickson Profar#",26,139,518,459,65,100,24,2,20,67,9,1,48,75,0.218,0.301,0.41,0.711,90,188,12,8,0,3,2,0.302011627906977,101.119315884197
4,"SS","Marcus Semien",28,162,747,657,123,187,43,7,33,92,10,8,87,102,0.285,0.369,0.522,0.892,138,343,11,2,0,1,2,0.371707382550336,148.209676261689
5,"3B","Matt Chapman",26,156,670,583,102,145,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,126,295,12,11,0,3,0,0.352265671641791,135.073766080026
6,"LF","Robbie Grossman#",29,138,482,420,57,101,21,3,6,38,9,4,59,86,0.24,0.334,0.348,0.682,86,146,7,1,0,2,2,0.299089583333333,99.1450187018786
7,"CF","Ramon Laureano",24,123,481,434,79,125,29,0,24,67,13,2,27,123,0.288,0.34,0.521,0.86,128,226,7,11,1,8,0,0.353316666666667,135.783877258671
8,"RF","Stephen Piscotty",28,93,393,357,46,89,17,1,13,44,2,0,29,84,0.249,0.309,0.412,0.72,93,147,13,3,1,3,0,0.303329081632653,102.009461504117
9,"DH","Khris Davis",31,133,533,481,61,106,11,0,23,73,0,0,47,146,0.22,0.293,0.387,0.679,82,186,11,3,0,2,3,0.290177358490566,93.123419800214
10,"OF","Mark Canha",30,126,497,410,80,112,16,3,26,58,3,2,67,107,0.273,0.396,0.517,0.913,145,212,10,18,0,2,1,0.384316532258065,156.729124925802
11,"OF","Chad Pinder",27,124,370,341,45,82,21,0,13,47,0,1,20,88,0.24,0.29,0.416,0.706,88,142,11,5,1,3,0,0.295317073170732,96.5960992735188
