"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Elias Diaz",28,101,332,303,31,73,14,0,2,28,0,0,23,56,0.241,0.296,0.307,0.603,61,93,11,2,1,3,0,0.261861027190332,94.3946609542184
2,"1B","Josh Bell#",26,143,613,527,94,146,37,3,37,116,0,1,74,118,0.277,0.367,0.569,0.936,143,300,11,5,0,7,13,0.391168333333333,193.928616208406
3,"2B","Adam Frazier*",27,152,608,554,80,154,33,7,10,50,5,5,40,75,0.278,0.336,0.417,0.753,99,231,6,9,4,1,4,0.321225,140.089921257714
4,"SS","Kevin Newman",25,130,531,493,61,152,20,6,12,64,16,8,28,62,0.308,0.353,0.446,0.8,111,220,5,7,2,1,2,0.33785009487666,152.887043855877
5,"3B","Colin Moran*",26,149,503,466,46,129,30,1,13,80,0,1,30,117,0.277,0.322,0.429,0.751,97,200,13,3,0,4,4,0.317366733466934,137.120030847684
6,"LF","Bryan Reynolds#",24,134,546,491,83,154,37,4,16,68,3,2,46,121,0.314,0.377,0.503,0.88,131,247,9,6,0,3,0,0.367562271062271,175.757912511145
7,"CF","Starling Marte",30,132,586,539,97,159,31,6,23,82,25,6,25,94,0.295,0.342,0.503,0.845,120,271,15,16,2,4,1,0.350643224699829,162.734521538012
8,"RF","Melky Cabrera#",34,133,397,378,43,106,22,1,7,47,2,0,17,41,0.28,0.313,0.399,0.713,88,151,14,1,1,0,3,0.302625954198473,125.773355181143
9,"UT","Jose Osuna",26,95,285,261,41,69,20,0,10,36,0,0,18,48,0.264,0.31,0.456,0.766,100,119,6,1,0,4,0,0.317003521126761,136.840449114115
10,"C","Jacob Stallings",29,71,210,191,26,50,5,0,6,13,0,0,16,40,0.262,0.325,0.382,0.708,87,73,3,2,1,0,5,0.310553921568627,131.875886994812
