"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Austin Hedges",26,102,347,312,28,55,9,0,11,36,1,0,27,109,0.176,0.252,0.311,0.563,49,97,3,5,2,1,3,0.246397660818713,74.636704290679
2,"1B","Eric Hosmer*",29,160,667,619,72,164,29,2,22,99,0,3,40,163,0.265,0.31,0.425,0.735,93,263,12,3,0,5,3,0.308942771084337,122.78063669665
3,"2B","Ian Kinsler",37,87,281,258,28,56,12,0,9,22,2,4,19,54,0.217,0.278,0.368,0.646,70,95,5,3,0,1,0,0.274309608540925,96.1218518705648
4,"SS","Fernando Tatis Jr.",20,84,372,334,61,106,13,6,22,53,16,6,30,110,0.317,0.379,0.59,0.969,153,197,4,5,0,3,1,0.396819407008086,190.423443656451
5,"3B","Manny Machado",26,156,661,587,81,150,21,2,32,85,5,3,65,128,0.256,0.334,0.462,0.796,109,271,24,6,0,3,3,0.335272036474164,143.047518757347
6,"LF","Wil Myers",28,155,490,435,58,104,22,1,18,53,16,7,51,168,0.239,0.321,0.418,0.739,95,182,12,2,1,1,0,0.313703476482618,126.445177024841
7,"CF","Manuel Margot",24,151,441,398,59,93,19,3,12,37,20,4,38,88,0.234,0.304,0.387,0.691,83,154,6,2,3,0,1,0.294732265446224,111.842137747804
8,"RF","Franmil Reyes",23,99,354,321,43,82,9,0,27,46,0,0,29,93,0.255,0.314,0.536,0.849,120,172,12,0,0,4,1,0.34686402266289,151.97041931905
9,"OF","Hunter Renfroe",27,140,494,440,64,95,19,1,33,64,5,0,46,154,0.216,0.289,0.489,0.778,102,215,6,2,0,6,1,0.319574036511156,130.964025005104
10,"2B","Greg Garcia*",29,134,372,311,52,77,13,4,4,31,0,2,53,83,0.248,0.364,0.354,0.718,94,110,4,5,1,2,1,0.317464864864865,129.340495735744
11,"OF","Josh Naylor*",22,94,279,253,29,63,15,0,8,32,1,1,25,64,0.249,0.315,0.403,0.719,90,102,4,0,0,1,1,0.305845323741007,120.396384835952
12,"MI","Luis Urias",22,71,249,215,27,48,8,1,4,24,0,1,25,56,0.223,0.329,0.326,0.655,76,70,8,9,0,0,0,0.29114859437751,109.083616466689
13,"C","Francisco Mejia#",23,79,244,226,27,60,11,2,8,22,1,1,13,56,0.265,0.316,0.438,0.754,98,99,6,4,0,1,1,0.316711934156379,128.760929323888
14,"IF","Ty France",24,69,201,184,20,43,8,1,7,24,0,2,9,49,0.234,0.294,0.402,0.696,83,74,8,7,0,1,0,0.293721393034826,111.064021395642
