"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Buster Posey",32,114,445,405,43,104,24,0,7,38,0,0,34,71,0.257,0.32,0.368,0.688,83,149,18,4,1,1,1,0.296103837471783,124.119432376081
2,"1B","Brandon Belt*",31,156,616,526,76,123,32,3,17,57,4,3,83,127,0.234,0.339,0.403,0.742,97,212,6,3,0,4,3,0.3202088091354,142.67417025235
3,"2B","Joe Panik*",28,103,388,344,33,81,17,1,3,27,4,2,36,38,0.235,0.31,0.317,0.627,68,109,5,3,1,4,2,0.275415584415584,108.19470456754
4,"SS","Brandon Crawford*",32,147,560,500,58,114,24,2,11,59,3,2,53,117,0.228,0.304,0.35,0.654,74,175,10,3,0,4,5,0.284293693693694,115.028605589744
5,"3B","Evan Longoria",33,129,508,453,59,115,19,2,20,69,3,1,43,112,0.254,0.325,0.437,0.762,101,198,14,7,0,5,1,0.320678500986193,143.035714306237
6,"LF","Mike Yastrzemski*",28,107,411,371,64,101,22,3,21,55,2,4,32,107,0.272,0.334,0.518,0.852,122,192,4,4,1,3,1,0.351606356968215,166.842349253981
7,"CF","Kevin Pillar",30,156,628,595,82,157,37,3,21,87,14,5,18,86,0.264,0.293,0.442,0.735,92,263,15,9,0,6,4,0.305844551282051,131.617320944441
9,"3B","Pablo Sandoval#",32,108,296,272,42,73,23,0,14,41,1,0,18,67,0.268,0.313,0.507,0.82,113,138,8,1,2,3,2,0.338664383561644,156.88029961909
10,"OF","Steven Duggar*",25,73,281,261,26,61,12,2,4,28,1,4,16,78,0.234,0.278,0.341,0.619,64,89,1,1,0,3,0,0.262387900355872,98.1666793851802
11,"C","Stephen Vogt*",34,99,280,255,30,67,24,2,10,40,3,1,20,66,0.263,0.314,0.49,0.804,110,125,1,1,0,4,1,0.331666666666667,151.493825636438
12,"MI","Donovan Solano",31,81,228,215,27,71,13,1,4,23,0,1,10,49,0.33,0.36,0.456,0.815,116,98,4,1,0,2,0,0.341135964912281,158.782792795224
