"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Omar Narvaez*",27,132,482,428,63,119,12,0,22,55,0,0,47,92,0.278,0.353,0.46,0.813,120,197,5,4,0,3,1,0.342702702702703,117.777653560554
2,"1B","Austin Nola",29,79,267,238,37,64,12,1,10,31,1,0,23,63,0.269,0.342,0.454,0.796,115,108,8,4,1,1,1,0.336335849056604,113.475850183867
3,"2B","Dee Gordon*",31,117,421,393,36,108,12,6,3,34,22,5,18,61,0.275,0.304,0.359,0.663,81,141,8,1,3,6,1,0.279824940047962,75.2939109238092
4,"SS","J.P. Crawford*",24,93,396,345,43,78,21,4,7,46,5,3,43,83,0.226,0.313,0.371,0.684,87,128,4,2,3,3,0,0.293793893129771,84.7321190052731
5,"3B","Kyle Seager*",31,106,443,393,55,94,19,1,23,63,2,2,44,86,0.239,0.321,0.468,0.789,112,184,12,4,0,2,0,0.329250564334086,108.68863448231
6,"LF","Domingo Santana",26,121,507,451,63,114,20,1,21,69,8,3,50,164,0.253,0.329,0.441,0.77,108,199,11,2,0,2,1,0.324894841269841,105.745663711
7,"CF","Mallex Smith*",26,134,566,510,70,116,19,9,6,37,46,9,42,141,0.227,0.3,0.335,0.635,74,171,7,11,2,1,0,0.27502304964539,72.0494844776446
8,"RF","Mitch Haniger",28,63,283,246,46,54,13,1,15,32,4,0,30,81,0.22,0.314,0.463,0.778,109,114,3,5,0,2,1,0.326223404255319,106.643315369849
9,"DH","Daniel Vogelbach*",26,144,558,462,73,96,17,0,30,76,0,0,92,149,0.208,0.341,0.439,0.78,112,203,4,2,0,2,2,0.333555755395683,111.597462998796
10,"SS","Tim Beckham",29,88,328,304,39,72,21,1,15,47,1,3,21,102,0.237,0.293,0.461,0.753,101,140,7,3,0,0,0,0.312753048780488,97.5419877930312
11,"1B","Edwin Encarnacion",36,65,289,241,48,58,7,0,21,49,0,1,41,55,0.241,0.356,0.531,0.888,138,128,3,4,0,3,0,0.366522491349481,133.871638584925
12,"UT","Dylan Moore",26,113,282,247,31,51,14,2,9,28,11,9,25,93,0.206,0.302,0.389,0.691,88,96,6,9,1,0,0,0.296715302491103,86.7059870025317
13,"C","Tom Murphy",28,75,281,260,32,71,12,1,18,40,2,0,19,87,0.273,0.324,0.535,0.858,129,139,0,1,0,1,0,0.351893238434164,123.987294906304
