"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Yadier Molina",36,113,452,419,45,113,24,0,10,57,6,0,23,58,0.27,0.312,0.399,0.711,85,167,14,5,0,5,0,0.29916592920354,96.1783364405946
2,"1B","Paul Goldschmidt",31,161,682,597,97,155,25,1,34,97,3,1,78,166,0.26,0.346,0.476,0.821,113,284,11,2,0,3,2,0.345017699115044,131.472614473499
3,"2B","Kolten Wong*",28,148,549,478,61,136,25,4,11,59,24,4,47,83,0.285,0.361,0.423,0.784,106,202,2,13,6,5,5,0.336910780669145,125.232335544858
4,"SS","Paul DeJong",25,159,664,583,97,136,31,1,30,78,9,5,62,149,0.233,0.318,0.444,0.762,98,259,15,13,0,6,1,0.320487179487179,112.590312182694
5,"3B","Matt Carpenter*",33,129,492,416,59,94,20,2,15,46,6,1,63,129,0.226,0.334,0.392,0.726,91,163,3,7,1,5,0,0.31252749490835,106.463366131939
6,"LF","Marcell Ozuna",28,130,549,485,80,117,23,1,29,89,12,2,62,114,0.241,0.328,0.472,0.8,107,229,21,1,0,1,2,0.335793418647166,124.372249097961
7,"CF","Harrison Bader",25,128,406,347,54,71,14,3,12,39,11,3,46,117,0.205,0.314,0.366,0.68,79,127,3,10,1,2,4,0.298092269326683,95.3518896037617
8,"RF","Dexter Fowler#",33,150,574,487,69,116,24,1,19,67,8,5,74,142,0.238,0.346,0.409,0.754,98,199,6,8,1,4,1,0.324491258741259,115.672441547209
9,"RF","Jose Martinez",30,128,373,334,45,90,13,2,10,42,3,0,35,82,0.269,0.34,0.41,0.751,97,137,14,2,0,2,0,0.319348525469169,111.713836278437
10,"IF","Tommy Edman#",24,92,349,326,59,99,17,7,11,36,15,1,16,61,0.304,0.35,0.5,0.85,120,163,3,7,0,0,0,0.353022922636103,137.63461400401
