"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Mike Zunino",28,90,289,266,30,44,10,1,9,32,0,0,20,98,0.165,0.232,0.312,0.544,44,83,4,3,0,0,0,0.23361937716263,51.9547210016292
2,"1B","Ji-Man Choi*",28,127,487,410,54,107,20,2,19,63,2,3,64,108,0.261,0.363,0.459,0.822,118,188,7,6,0,7,2,0.348107216494845,129.30912573664
3,"2B","Brandon Lowe*",24,82,327,296,42,80,17,2,17,51,5,0,25,113,0.27,0.336,0.514,0.85,123,152,1,5,0,1,0,0.351596330275229,131.666566676294
4,"SS","Willy Adames",23,152,584,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,95,222,9,3,3,1,1,0.310863793103448,104.145380280883
5,"3B","Yandy Díaz",27,79,347,307,53,82,20,1,14,38,2,2,35,61,0.267,0.34,0.476,0.816,115,146,9,1,0,4,1,0.340601156069364,124.237610373045
6,"LF","Tommy Pham",31,145,654,567,77,155,33,2,21,68,25,4,81,123,0.273,0.369,0.45,0.818,118,255,22,5,0,1,4,0.350144615384615,130.685706683972
7,"CF","Kevin Kiermaier*",29,129,480,447,60,102,20,7,14,55,19,5,26,104,0.228,0.278,0.398,0.676,78,178,8,5,1,1,2,0.284251572327044,86.1646715100415
8,"RF","Avisail Garcia",28,125,530,489,61,138,25,2,20,72,10,4,31,125,0.282,0.332,0.464,0.796,110,227,15,7,0,3,2,0.333439393939394,119.398722246158
9,"DH","Austin Meadows*",24,138,591,530,83,154,29,7,33,89,12,7,54,131,0.291,0.364,0.558,0.922,142,296,3,7,0,0,6,0.383861538461539,153.466750761005
10,"UT","Travis d'Arnaud",30,92,365,327,50,86,16,0,16,67,0,1,30,80,0.263,0.323,0.459,0.782,106,150,3,2,0,6,0,0.324794520547945,113.557760978083
11,"IF","Joey Wendle*",29,75,263,238,32,55,13,2,3,19,8,3,14,47,0.231,0.293,0.34,0.633,69,81,4,8,0,3,0,0.27209505703422,77.9510480403931
12,"IF","Daniel Robertson",25,74,237,207,23,44,9,1,2,19,2,2,24,59,0.213,0.312,0.295,0.607,65,61,10,6,0,0,0,0.271881856540084,77.8069978302633
13,"OF","Guillermo Heredia",28,89,231,204,31,46,13,0,5,20,2,2,18,60,0.225,0.306,0.363,0.668,79,74,4,6,2,1,0,0.288449781659389,89.0012171707046
