"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Jeff Mathis",36,86,244,228,17,36,9,0,2,12,1,0,15,87,0.158,0.209,0.224,0.433,11,51,2,0,0,1,1,0.191082304526749,5.48456020948912
2,"1B","Ronald Guzman*",24,87,295,256,34,56,20,0,10,36,1,2,32,87,0.219,0.308,0.414,0.723,81,106,7,3,0,4,1,0.306384353741497,83.3890908020582
3,"2B","Rougned Odor*",25,145,581,522,77,107,30,1,30,93,11,9,52,178,0.205,0.283,0.439,0.721,79,229,4,5,1,1,2,0.302446366782007,80.728365969776
4,"SS","Elvis Andrus",30,147,648,600,81,165,27,4,12,72,31,8,34,96,0.275,0.313,0.393,0.707,78,236,16,4,0,10,1,0.297204018547141,77.1863415112219
5,"3B","Asdrubal Cabrera#",33,93,368,323,45,76,15,0,12,51,4,0,38,85,0.235,0.318,0.393,0.711,80,127,6,3,0,4,1,0.303983651226158,81.7670415512117
6,"LF","Willie Calhoun*",24,83,337,309,51,83,14,1,21,48,0,0,23,53,0.269,0.323,0.524,0.848,110,162,5,3,0,2,0,0.348023738872404,111.522994534721
7,"CF","Delino DeShields",26,118,408,357,42,89,15,4,4,32,24,6,38,100,0.249,0.325,0.347,0.672,72,124,8,3,8,2,0,0.29152,73.3458998208082
8,"RF","Nomar Mazara*",24,116,469,429,69,115,27,1,19,66,4,1,28,108,0.268,0.318,0.469,0.786,96,201,5,6,0,6,2,0.326942184154176,97.2791139127364
9,"DH","Shin-Soo Choo*",36,151,660,563,93,149,31,2,24,61,15,1,78,165,0.265,0.371,0.455,0.826,109,256,6,18,0,1,3,0.353587519025875,115.282196423399
10,"UT","Danny Santana#",28,130,511,474,81,134,23,6,28,81,21,6,25,151,0.283,0.324,0.534,0.857,112,253,8,6,0,5,2,0.351375984251968,113.787959507197
11,"CI","Logan Forsythe",32,101,367,317,38,72,17,1,7,39,2,0,44,100,0.227,0.325,0.353,0.678,73,112,8,3,0,2,0,0.295806010928962,76.2417691640625
12,"DH","Hunter Pence",36,83,316,286,53,85,17,1,18,59,6,1,26,69,0.297,0.358,0.552,0.91,126,158,2,2,0,2,0,0.373943037974683,129.035526563452
13,"OF","Joey Gallo*",25,70,297,241,54,61,15,1,22,49,4,2,52,114,0.253,0.389,0.598,0.986,145,144,0,2,1,1,4,0.408671232876712,152.499842597687
14,"UT","Isiah Kiner-Falefa",24,65,222,202,23,48,12,1,1,21,3,0,14,49,0.238,0.299,0.322,0.62,58,65,9,4,1,1,0,0.26927149321267,58.3135609382234
