"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Danny Jansen",24,107,384,347,41,72,12,1,13,43,0,1,31,79,0.207,0.279,0.36,0.64,70,125,8,4,1,1,1,0.274133507853403,65.6881659262159
2,"1B","Justin Smoak#",32,121,500,414,54,86,16,0,22,61,0,0,79,106,0.208,0.342,0.406,0.748,101,168,11,6,0,1,3,0.325505030181087,105.231258712082
3,"2B","Cavan Biggio*",24,100,430,354,66,83,17,2,16,48,14,0,71,123,0.234,0.364,0.429,0.793,113,152,0,2,0,2,0,0.340361305361305,116.666837049756
4,"SS","Freddy Galvis#",29,115,473,450,55,120,24,1,18,54,4,1,21,112,0.267,0.299,0.444,0.743,96,200,11,0,1,1,1,0.309123142250531,92.6213440143326
5,"3B","Vladimir Guerrero Jr.",20,123,514,464,52,126,26,2,15,69,0,1,46,91,0.272,0.339,0.433,0.772,106,201,17,2,0,2,0,0.325929961089494,105.558348149525
6,"LF","Lourdes Gurriel Jr.",25,84,343,314,52,87,19,2,20,50,6,4,20,86,0.277,0.327,0.541,0.869,127,170,4,5,1,3,0,0.35519298245614,128.083481076577
7,"CF","Teoscar Hernandez",26,125,464,417,58,96,19,2,26,65,6,3,45,153,0.23,0.306,0.472,0.778,105,197,8,1,0,1,1,0.324060475161987,104.119316325206
8,"RF","Randal Grichuk",27,151,628,586,75,136,29,5,31,80,2,1,35,163,0.232,0.28,0.457,0.738,93,268,20,5,0,2,0,0.304415605095541,88.9977298001137
9,"DH","Rowdy Tellez*",24,111,409,370,49,84,19,0,21,54,1,1,29,116,0.227,0.293,0.449,0.742,95,166,9,7,0,3,3,0.311098522167488,94.1418874556056
10,"UT","Brandon Drury",26,120,447,418,43,91,21,1,15,41,0,1,25,113,0.218,0.262,0.38,0.642,70,159,6,1,0,3,0,0.268579418344519,61.412920287399
11,"2B","Eric Sogard*",33,73,323,287,45,86,17,2,10,30,6,0,29,47,0.3,0.363,0.477,0.84,123,137,2,1,3,3,0,0.35101875,124.870376736977
12,"OF","Billy McKinney*",24,84,276,251,37,54,14,1,12,28,0,2,19,73,0.215,0.274,0.422,0.696,83,106,0,2,2,2,0,0.289580291970803,77.5782869489373
13,"SS","Bo Bichette",21,46,212,196,32,61,18,0,11,21,4,4,14,50,0.311,0.358,0.571,0.93,144,112,2,1,0,1,0,0.38125,148.140801081372
