"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","wOBA","wRC"
1,"C","Yan Gomes",31,97,358,314,36,70,16,0,12,43,2,0,38,84,0.223,0.316,0.389,0.704,80,122,7,5,0,1,6,0.307576704545455,95.9195899833774
2,"1B","Matt Adams*",30,111,333,310,42,70,14,0,20,56,0,0,20,115,0.226,0.276,0.465,0.741,85,144,7,2,0,1,1,0.306253012048193,94.9006812014788
3,"2B","Brian Dozier",32,135,482,416,54,99,20,0,20,50,3,4,61,105,0.238,0.34,0.43,0.771,96,179,11,4,0,1,2,0.3297,112.948937864252
4,"SS","Trea Turner",26,122,569,521,96,155,37,5,19,57,35,5,43,113,0.298,0.353,0.497,0.85,115,259,10,3,0,2,2,0.354957671957672,132.390963728433
5,"3B","Anthony Rendon",29,146,646,545,117,174,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,155,326,13,12,0,9,8,0.418452978056426,181.266306851699
6,"LF","Juan Soto*",20,150,659,542,110,153,32,5,34,110,12,1,108,132,0.282,0.401,0.548,0.949,140,297,11,3,0,6,3,0.394704268292683,162.98580062605
7,"CF","Victor Robles",22,155,617,546,86,139,33,3,17,65,28,9,35,140,0.255,0.326,0.419,0.745,90,229,6,25,6,5,3,0.317356907894737,103.447875519446
8,"RF","Adam Eaton*",30,151,656,566,103,158,25,7,15,49,15,3,65,106,0.279,0.365,0.428,0.792,103,242,8,13,9,3,0,0.338137557959815,119.443725680016
9,"IF","Howie Kendrick",35,121,370,334,61,115,23,1,17,62,2,1,27,49,0.344,0.395,0.572,0.966,144,191,11,4,0,5,1,0.398119241192412,165.614466939923
10,"C","Kurt Suzuki",35,85,309,280,37,74,11,0,17,63,0,1,20,36,0.264,0.324,0.486,0.809,104,136,10,6,0,3,1,0.336301948051948,118.030769831785
11,"UT","Gerardo Parra*",32,89,204,188,30,47,11,1,8,42,6,2,11,41,0.25,0.3,0.447,0.747,88,84,7,3,1,1,1,0.312539603960396,99.7397686185392
